frame,timestamp_ms,left_elbow,right_elbow,left_knee,right_knee,left_hip,right_hip,left_ankle,right_ankle,nose_speed,left_eye_inner_speed,left_eye_speed,left_eye_outer_speed,right_eye_inner_speed,right_eye_speed,right_eye_outer_speed,left_ear_speed,right_ear_speed,mouth_left_speed,mouth_right_speed,left_shoulder_speed,right_shoulder_speed,left_elbow_speed,right_elbow_speed,left_wrist_speed,right_wrist_speed,left_pinky_speed,right_pinky_speed,left_index_speed,right_index_speed,left_thumb_speed,right_thumb_speed,left_hip_speed,right_hip_speed,left_knee_speed,right_knee_speed,left_ankle_speed,right_ankle_speed,left_heel_speed,right_heel_speed,left_foot_index_speed,right_foot_index_speed,nose_acceleration,left_eye_inner_acceleration,left_eye_acceleration,left_eye_outer_acceleration,right_eye_inner_acceleration,right_eye_acceleration,right_eye_outer_acceleration,left_ear_acceleration,right_ear_acceleration,mouth_left_acceleration,mouth_right_acceleration,left_shoulder_acceleration,right_shoulder_acceleration,left_elbow_acceleration,right_elbow_acceleration,left_wrist_acceleration,right_wrist_acceleration,left_pinky_acceleration,right_pinky_acceleration,left_index_acceleration,right_index_acceleration,left_thumb_acceleration,right_thumb_acceleration,left_hip_acceleration,right_hip_acceleration,left_knee_acceleration,right_knee_acceleration,left_ankle_acceleration,right_ankle_acceleration,left_heel_acceleration,right_heel_acceleration,left_foot_index_acceleration,right_foot_index_acceleration,left_elbow_angular_speed,right_elbow_angular_speed,left_knee_angular_speed,right_knee_angular_speed,left_hip_angular_speed,right_hip_angular_speed,left_ankle_angular_speed,right_ankle_angular_speed,nose_signed_speed_y,left_eye_inner_signed_speed_y,left_eye_signed_speed_y,left_eye_outer_signed_speed_y,right_eye_inner_signed_speed_y,right_eye_signed_speed_y,right_eye_outer_signed_speed_y,left_ear_signed_speed_y,right_ear_signed_speed_y,mouth_left_signed_speed_y,mouth_right_signed_speed_y,left_shoulder_signed_speed_y,right_shoulder_signed_speed_y,left_elbow_signed_speed_y,right_elbow_signed_speed_y,left_wrist_signed_speed_y,right_wrist_signed_speed_y,left_pinky_signed_speed_y,right_pinky_signed_speed_y,left_index_signed_speed_y,right_index_signed_speed_y,left_thumb_signed_speed_y,right_thumb_signed_speed_y,left_hip_signed_speed_y,right_hip_signed_speed_y,left_knee_signed_speed_y,right_knee_signed_speed_y,left_ankle_signed_speed_y,right_ankle_signed_speed_y,left_heel_signed_speed_y,right_heel_signed_speed_y,left_foot_index_signed_speed_y,right_foot_index_signed_speed_y,shoulder_position_symmetry,elbow_angle_symmetry,knee_angle_symmetry,hip_angle_symmetry,ankle_angle_symmetry,rep_start_frame,rep_end_frame,max_depth_frame
0,0,161.95532046621926,152.6126016966076,163.91579533788678,150.502607979657,142.172661661555,142.3087839713651,81.46505870400165,80.27473705780997,0.11389898574259949,0.1180548171116234,0.11234659388462812,0.10635206819508383,0.12023671262538668,0.11988973185403276,0.15185721623116086,0.1043382034763211,0.07657583537669178,0.08876678361735665,0.08454681861855115,0.1396856208572872,0.12857176323379563,0.08542015981045388,0.1255036908270309,0.10026023297297945,0.16055436598589867,0.13348441323054355,0.14106132740032687,0.12199733972238024,0.10148708118619823,0.09520623684207377,0.15039347824222996,0.05489243721650684,0.06391060540607817,0.13438876027340024,0.08950274565392777,0.2060092837902666,0.19163870103500985,0.22152792481358868,0.1899992850408642,0.1770768821856987,0.0963860082435638,1.5246944214169622,1.6007498092140529,1.527910556846082,1.4531823712318892,1.6176861345776006,1.6137916643279726,2.035515467974277,1.407318329064718,1.0146786714059295,1.1828384630968072,1.0946921680198403,1.9454028073804572,1.842256406754731,1.2283143217427492,1.7483052244175254,1.5655843442440651,2.1203132181612685,1.97212251518601,1.9261483784428335,1.7965171321326046,1.4823695367196301,1.464598391372072,2.080537159854896,0.767836049043771,0.9054833625114006,1.8758484225863103,1.227812333861416,2.9890234936233413,2.653482110874339,3.214779602014011,2.6236343453173707,2.6441320772229786,1.4065500542577078,-2.5497419213956727,0.9637114625682195,0.6759617199057202,6.689143628984145,14.029172005622009,7.495220595617721,-13.199740167197426,18.355544370825264,0.08890542947806848,0.09507928746733763,0.08810363502147472,0.08055140410542828,0.10402566154791734,0.10359385051489281,0.13874082291914372,0.08302316765829182,0.0739099350165558,0.05950360331111211,0.06726170853784681,-0.054471469111482124,-0.004863882652837549,-0.016172533364024907,0.03008356974165723,0.02645186740929821,0.03583621461368455,0.015667066330588897,0.10889925280516385,0.014280805477466728,0.07806075795727054,0.022468415704789114,-0.023240092945375226,0.03564180253977446,0.04815192441676322,0.021674596323729867,0.022678483590831966,-0.015487506650517329,0.08255599771662721,-0.033794950834254045,0.049522261993455344,0.003409550391742555,0.0014303783576297639,0.5743469349328775,9.34271876961165,13.413187358229777,0.13612230981010498,1.190321646191677,5,239,239
1,33,161.8711789828132,152.64440417487236,163.93810207464367,150.72334971941348,142.63562433774052,142.5561262510205,81.02946727848413,80.8804700220472,0.1253509025782896,0.12711974198208376,0.12173196066929376,0.1161004485945892,0.12758017307396347,0.12711108884954303,0.1580030809784402,0.11540934951748953,0.08006662825598414,0.10074692927303519,0.09404226314753371,0.15009524803152313,0.1299778430380914,0.10037099409085769,0.12263680836162788,0.1232394496557141,0.15708623326432686,0.15132234713365503,0.14183297590789007,0.13963555822876597,0.10314738538954346,0.11828663506409692,0.14679277442919536,0.0572850544825651,0.06536955598781316,0.1337334070673188,0.08859567260046528,0.20430208649796183,0.1916545439790593,0.22016518111683556,0.1895561984306845,0.18247207509865448,0.10012215363024013,0.8338808778846662,0.6940197367992145,0.7266658962443242,0.7656214709370603,0.5284080337791525,0.5196595817084437,0.43029955898641786,0.785411164688121,0.10309226378421071,0.8711809848037759,0.5921536159494468,0.8816064021233929,0.3134336430722976,1.2972947007349411,-0.07356712102701161,2.2312867465786415,-0.3955963138878052,1.673533646291092,0.17861461730552353,1.604733135796297,0.3474371227261387,2.1944114934639978,-0.16036085723109414,0.25831378810812833,0.2141136648905292,0.16891344607254874,0.000926778782406828,0.40843926498179944,0.19813231392790875,0.4747221345059045,0.14882311015621827,1.0188218097454254,0.5052178563040522,-5.58495513094344,0.7740692872451318,0.2308725765512022,11.924163117957718,22.50299290836789,12.368292642392044,-19.83991658890888,28.26665313516919,0.09148699660124074,0.09702984906223498,0.09023545980377086,0.08290185410818074,0.10533525394126637,0.10467082885936502,0.13949654199683542,0.0861975099480993,0.07466142963083258,0.06156473665910259,0.06870368826980625,-0.05441924055756968,-0.007956833199469127,-0.014620326699703368,0.027894462102222316,0.02803307590026741,0.026409523574324568,0.016723070096524427,0.10945182984313298,0.015269219130887789,0.08067927509873755,0.023558841107344176,-0.025549356731301306,0.03701757047460968,0.047956558291524176,0.02278955104287814,0.023153094961672047,-0.016021047572366297,0.08432166974271534,-0.03355758845229397,0.05124923965046109,0.0036121576314196695,0.001397390830681462,0.5695177312088108,9.226774807940842,13.214752355230189,0.07949808672003655,0.14899725643692818,5,239,239
2,66,161.68687546349207,152.66994846135145,163.94572086966986,151.11684710230608,143.37822310371666,142.96427990821942,80.37475003105014,81.81326957550779,0.1441114475408931,0.14137130130805486,0.1366694890711518,0.13179827441592137,0.13878211213402541,0.13809566758472758,0.16632593599225787,0.13400027988385366,0.08619703138976968,0.12112512051796538,0.11033284871742977,0.16599121186724958,0.1294866691794315,0.12535632987264322,0.1146102086525135,0.16117144380978038,0.14822934443126873,0.17994917396640592,0.1396567914765166,0.1684572789745179,0.10329905158677516,0.1567669730809779,0.13702381883766507,0.060108880748407645,0.06619428010950278,0.128544889042837,0.08466636968195124,0.19451854354832804,0.18656238280050969,0.21048627707997847,0.18373613150217583,0.18546221561914,0.10396315569298237,0.9204416229070693,0.5580771418882766,0.6311049625827014,0.7101835390784407,0.3025763319068653,0.28667408252508886,-0.02292971714352115,0.8501166644019662,-0.17523346623472738,1.114116582091021,0.7841546850402411,0.6029898681107642,-0.5659307059475561,1.555180219196048,-1.0750765638124076,2.6030057726631606,-1.4956648413624822,1.665207563231301,-0.5916747849038699,1.6782866509188896,-0.34171920702483327,2.639361682438094,-1.3690514853003806,0.05345661438543617,-0.1288151753398909,-0.7025647307531632,-0.5769965587482573,-1.1965703783202146,-0.9607493349666509,-1.2266374544435485,-1.0154900822378825,-0.0497186909625161,0.002653280548010516,-8.375571272250179,-0.31842472048156995,-1.2602851268426587,14.240195023381997,22.931561590973065,12.678678649783304,-17.36923799728211,26.181508836477757,0.09370556891797566,0.09814261142112735,0.09185231750335314,0.0851034257234434,0.10503311313420553,0.10390453490496945,0.13732144150142345,0.08966014365762516,0.07416698343133879,0.06375273933786496,0.06956793349528093,-0.05263349356489413,-0.0133718083772362,-0.01140848926957856,0.022987375694713038,0.03005328009852091,0.008790209772354967,0.01808950098133491,0.10825964894994666,0.016570512070814267,0.08284167399659573,0.024778081784293953,-0.02884632801842915,0.03852723442269324,0.04600270033356029,0.024287914080694355,0.023430234878870845,-0.016477888206045677,0.08511247248519556,-0.03229931348661113,0.052861235699646944,0.0037987647076017416,0.0012612251359034017,0.5613188714910504,9.01692700214062,12.828873767363774,0.41394319549723946,1.4385195444576482,5,239,239
3,100,161.40210604023557,152.65912202085508,163.9028711753572,151.60101373310107,144.15789619780975,143.39535498231206,79.78419593914255,82.70344087594803,0.16406970564473916,0.15564775426506194,0.15195953637087262,0.14818834535349168,0.14947921988392338,0.14853271553160918,0.17231143343737604,0.1549095076783436,0.09440149002370346,0.14424337228409806,0.1292267670756469,0.1808947826757277,0.12456579070708566,0.15253782372534844,0.10080899575912003,0.2011369522326215,0.1336157433936936,0.20895139981221103,0.131094360549515,0.19877284721193872,0.09899019822110067,0.19810293704998982,0.12027627261990526,0.060992017632139385,0.06411999594227112,0.11541640217158855,0.07606759060884088,0.1715180392543914,0.1717042097731114,0.1866985197588823,0.16819508188981525,0.17709627214154428,0.10377636219581785,0.7642866320462582,0.31933485999639755,0.3884180641646498,0.4601907306668049,0.12981663318389397,0.11518838416102462,-0.24187201382681497,0.7761952033025429,0.09710392314825596,1.004062653693541,0.8459612019105012,0.21097707041256994,-1.2423447922034891,1.1255976941494954,-1.727843312513404,1.6137747148208839,-1.5042998770590745,0.9012850897258033,-1.122923193202017,1.0290996079344095,-0.937611588273444,1.7330272025795657,-1.9736474128282846,-0.19097091856895101,-0.431340440712989,-1.396420567072604,-0.8834518376991088,-2.632027032536606,-1.6894159303492418,-2.763752895918695,-1.7199310441167643,-1.4397821176896768,-0.5579144539223886,-10.599159803186438,-1.1509849433530166,-3.038403390085229,14.72297155829131,19.336688694259216,9.56302634348948,-9.862497494866618,18.28904799384559,0.09226913751774751,0.09544902891779315,0.09007242895472958,0.08435959312334444,0.10017005284880487,0.09837717202733418,0.12867651490181536,0.09000651053458908,0.07043958636622064,0.06384921241223963,0.06769099614436881,-0.04756672591474785,-0.019691348984415356,-0.006829311191579751,0.015265219256983098,0.03107756635242976,-0.013616447139720479,0.018815190588896087,0.10319763152256017,0.017300102715171732,0.08100837921813116,0.024956229779428074,-0.0314681923962946,0.03870202377027783,0.04080034553173748,0.02526573465864284,0.022804599841086286,-0.01616844454960594,0.08197497464624326,-0.029337809538511075,0.05225537037905423,0.003653924777090623,0.0009402768147602041,0.5518191826117553,8.742984019380486,12.301857442256136,0.7625412154976914,2.919244936805484,5,239,239
4,133,161.0523337667304,152.62113951772443,163.8026038634844,152.08687179452468,144.7960069247203,143.7109348516472,79.45873352181195,83.30697945974494,0.17955447114110526,0.16606836218928078,0.163532445419057,0.16099063532189306,0.1568107962450301,0.15562916566852047,0.17383313334131725,0.17323060132632417,0.10470481708922919,0.16422907971954065,0.14633540374793713,0.19013671334308652,0.11666169277765692,0.17399051664254062,0.0849849300506108,0.23025378517835687,0.11616554963603673,0.22911657822414197,0.11645282086726777,0.22170251846731753,0.09044769205967484,0.22947327063343168,0.1002315199272587,0.05871036587340775,0.05850251724291364,0.09535901609499366,0.06373487065551883,0.13817368320653678,0.14770694609295307,0.15147438317434325,0.1438835020810892,0.1545146669056932,0.0980468788369806,0.2723992286431286,0.05049365270013546,0.0883221213823504,0.1268262469081176,0.01063090183444267,0.005652252428448444,-0.2247272295780917,0.48166152047313787,0.6818402529875212,0.4859318238363687,0.5307384053466353,-0.09713683151337854,-0.7913891672744838,0.2641359609992603,-1.0757003719158977,0.00242761277042376,-0.17378237604121233,-0.08147589773557364,-1.01323806294325,0.11519592053409566,-0.809625370989003,0.15174631160479052,-0.8284159339736133,-0.3238943318223363,-0.46616606589969223,-1.4212859989662874,-0.7073723992768202,-2.752415408856509,-1.5074873836468101,-2.869910053502952,-1.4973127944895186,-2.158742199347597,-0.7332177806038246,-10.878502732391793,-1.0622716199189983,-4.308866296095416,12.71319720601644,12.856472630014167,3.2725321712372546,-0.2562471678044865,8.417884987970366,0.08601980581353116,0.08816760923096838,0.0839940099982667,0.07963107976887687,0.09033984651815047,0.08777731991942703,0.1135028586865261,0.08564270237618204,0.06326561575361309,0.060930013317962994,0.06248969783383672,-0.03944969505852208,-0.025205244489542734,-0.0018736402522099794,0.005797165237534459,0.030279130094512365,-0.03522258529724617,0.018333007660704774,0.09430626759531924,0.016883260664922895,0.07382508502742631,0.023503211196584793,-0.03245876126606738,0.03684946823123025,0.03245458003696987,0.025197433395995672,0.02111296075779272,-0.014867756376178369,0.07411103745977544,-0.02482410361693599,0.04861383452913087,0.002917844268137306,0.0004035434483475282,0.5427713997395698,8.431194249005983,11.71573206895971,1.0850720730730927,3.8482459379329867,5,239,239
5,166,160.69334317656148,152.5860845542671,163.66041127571324,152.50640730232323,145.22027052151077,143.81892841329804,79.4502773652744,83.58476966434796,0.18662655142232842,0.1707188240186759,0.1692231727790655,0.16777535583117054,0.15970683094364327,0.1583759220612817,0.17108549840385298,0.18516238409029462,0.11651273907351023,0.1763710673680441,0.15785497297321902,0.1917816817535495,0.1099936613080168,0.1840961033998,0.07312073452001136,0.24020440940160304,0.09968484889969062,0.23520189290434212,0.09948705918703948,0.2317415497876245,0.08071609352912451,0.242211757675675,0.08263955138066528,0.05355457340518344,0.05044636922826299,0.07362320132087878,0.05073065613915276,0.10447292967955721,0.12002578964036212,0.11516327787137295,0.11646602436625952,0.12318466101474385,0.08843146704567825,0.06786004974438156,0.14862399583534944,0.1628581808345188,0.17723424478097496,0.1818535010225899,0.18169751008347462,0.08166601132506085,0.4246697358770575,0.9597029103218864,0.24062999324742768,0.3531258141655788,0.017284511484277898,0.47905064173058387,-0.10674260185021586,0.8288534019918118,-0.6655933596386822,0.32517538868028656,-0.2949857889928577,-0.4330512521328785,-0.09121714570246894,-0.0523662692590202,-0.5311238715048854,0.5779702210953677,-0.24968664165116633,-0.2709823856898077,-0.8168221855180183,-0.308003334117536,-0.742047317957975,-0.7886929124676321,-0.9032199243732102,-0.7483276672025337,-2.0019363550848324,-0.4323158417311183,-9.481458317201726,-0.601093389615879,-4.916850337054638,9.399180963205152,6.622928946531119,-3.484470344209753,6.301991933252328,1.347393329241112,0.07624426697090339,0.0777917146557067,0.07483445766145011,0.0718331835158253,0.07764384365393387,0.07436807750594654,0.09502103560097097,0.07723517628556091,0.05414930879562933,0.05558868134089462,0.05506143119915332,-0.03024817496543128,-0.028442811430919243,0.002122437797378636,-0.003483484390422612,0.02771718786534908,-0.05009130741253669,0.016665206561729595,0.08350711800618557,0.015260581663685588,0.06269591798183187,0.020624941760451165,-0.03180789466979903,0.03325461503957912,0.02271141912741491,0.024057787456000658,0.018741429420046286,-0.012929763907281112,0.06306308596970245,-0.019629442811092863,0.04264268077744347,0.0014831620618151124,-0.0003112234565309837,0.5352103748437916,8.107258622294381,11.154003973390019,1.4013421082127309,4.134492299073557,5,239,239
6,200,160.37097359377663,152.56564737902016,163.4932383642534,152.8259794550722,145.44545010569283,143.7004564215949,79.66454509100498,83.63058103754216,0.18354148329619194,0.1690459994934338,0.16830753510760926,0.16764469182608796,0.15794774660803812,0.15658652302413117,0.16486750954282997,0.18823001077978543,0.1275927182608809,0.17803646409914842,0.1612107006961837,0.18580169945707642,0.10765279155954559,0.18081658258364502,0.06881806463150457,0.22939916594810514,0.08581078078375416,0.22635441145048246,0.08455800581540607,0.2273333427210449,0.07293474410826792,0.23414830580238413,0.07081625924060356,0.0467029453263839,0.041694930472505845,0.056195160374171306,0.04015492298059036,0.08047207213559895,0.09492978156359455,0.08848430197786535,0.09222639157641753,0.09334644334635187,0.07806562102090643,-0.7008414234667272,-0.30810374875463215,-0.3047663391077748,-0.30177432005038396,-0.20924370532105108,-0.2032375681627568,-0.2502949399426248,-0.3419583862261604,0.4302368951259293,-0.562485838085371,-0.377727138323427,-0.5244666493416532,0.6579698530593906,-0.9027657035396506,0.7091961633022081,-1.6127701124561638,-0.3268445691560871,-1.053627166696567,-0.19917929732137088,-0.8768184114935486,0.19206471545288212,-1.5321958432680063,0.21556910846220517,-0.2830800270321279,-0.23647878983050905,0.09350256988702776,-0.08722371200641911,1.040392376866735,-0.4281024670851768,0.944338906522442,-0.35630397374339373,-1.1828335216284074,-0.2742041284676924,-8.073673716289635,-0.7770600639656605,-5.608612256227471,6.57813522457304,2.6608994325625424,-9.006920811683274,7.983024567580669,-2.155879505614056,0.06528948658410066,0.06658464066903395,0.06459737765474888,0.06268749907494059,0.06486875885882765,0.06112184478023115,0.07717691769263207,0.06664786322603813,0.04504358612508265,0.049125712272490504,0.047114541358552406,-0.022322737280257528,-0.028624985703946594,0.004156634254105826,-0.010738753726070204,0.02402160348656033,-0.054402046370866014,0.014234230519254551,0.07312201813057062,0.012762913775027996,0.05046987815784233,0.016998995287661606,-0.0298678393510243,0.02872754422920835,0.013819486958114358,0.022116694821596478,0.01623808645112098,-0.01098940068452127,0.05124406913027763,-0.014714467944192866,0.03573821491391249,-0.000585082362834147,-0.0011218469548604395,0.5295271179250559,7.805326214756462,10.667258909181186,1.7449936840979205,3.9660359465371755,5,239,239
7,233,160.10454236113907,152.5400043969093,163.30815415979788,153.0430579174831,145.5332597869674,143.40322803480936,79.92798490173514,83.5594370138569,0.17093834822095735,0.16133185382965365,0.16103522167218873,0.16082152010953835,0.15160199645107228,0.15032777359520522,0.15559183219570022,0.18169434242392035,0.13479007990990294,0.1692223280017536,0.15576920732523872,0.1732721758712545,0.10917643557769938,0.16572728403656178,0.07101180773794384,0.20220467096377936,0.07400055981410893,0.2051299384426343,0.07425788607778117,0.21020379208601758,0.06819625113252328,0.20911715934308028,0.06402426113694062,0.0394478027736756,0.0335904041895664,0.046296850717099006,0.03352110475319287,0.07000616343888716,0.07614349851992125,0.07586431221729922,0.07470903112526558,0.07373743368673132,0.06953300141286643,-1.1356209284818886,-0.6849625243866833,-0.686501567201736,-0.6886124633613947,-0.5641588151822203,-0.5548437146381392,-0.5768733823392179,-0.9528443619458434,-0.20983247094210167,-1.0685389603785984,-0.8722983101146388,-0.9210548985879113,0.22284135899080437,-1.2902111245109888,0.25299194678205256,-1.866523424765786,-0.7865341924513783,-1.4556061599214674,-0.10198376473899576,-1.350235187604973,0.024772931556711324,-1.8489737607942487,-0.22966561348804077,-0.2595328019322241,-0.2222256212233921,0.32930143728418,0.03930779325608434,0.43593652443559633,-0.19986156499980012,0.445869398959227,-0.12963583522179029,1.2270666034921787,-0.12402918062620111,-6.47430859309893,-1.794677671585298,-6.14183982987766,3.9636987090337543,0.5856553495089939,-12.038725640622667,5.176140172280976,-3.432945145486986,0.05511279037064447,0.05623457223755947,0.054852178257132594,0.0536326509377143,0.05390852593728415,0.05006879291924626,0.06250502817300874,0.05573399660473857,0.03727829008228303,0.04270715692022313,0.03996327331690884,-0.017138797385914256,-0.025817420313621102,0.0039789558201339705,-0.014993785464216685,0.019924609722465687,-0.04785759085267808,0.011547292831711353,0.0648615901308771,0.009861237959536749,0.03973046792366106,0.01332017341686631,-0.026693531802095577,0.02407883103925565,0.00735571484319017,0.019716542476194334,0.013977009983065608,-0.009564356746496708,0.04050531772067433,-0.01064789887649686,0.029083081909896093,-0.0030834674179030406,-0.001937855357141287,0.5256956162468134,7.564537964229771,10.265096242314769,2.1300317521580325,3.6314521121217496,5,239,239
8,266,159.8908901775668,152.48078003374698,163.10547344541192,153.17385997488122,145.5525864135012,143.0059500886688,80.09879752742042,83.44614982405582,0.15156858140621687,0.1486160790826525,0.1485135478178413,0.14848841373945165,0.1411696731192256,0.14007194208859214,0.14353746738767026,0.16688964887403362,0.13583524915001294,0.15240729219870724,0.1430855436319811,0.15610420059752061,0.11143397304399558,0.14296052909848594,0.07564448178740261,0.16617683716215365,0.0636890144797112,0.17605313058600527,0.06887655075293458,0.18420129020748094,0.06556338622764674,0.17438392239802622,0.05956932163961089,0.03276480672908415,0.026773008677031418,0.04328676414960069,0.03053009643699771,0.06992792556415586,0.06411992688812794,0.07441398835161349,0.06407278187308675,0.06684909021463388,0.06383171485698091,-0.8350671619062547,-0.524002957703175,-0.5271010558131045,-0.5306075677747778,-0.4237469915522369,-0.4155998076002893,-0.42169063851093586,-0.7960288529261471,-0.26380637127981016,-0.8252079302410705,-0.6736468333467577,-0.6723740671370072,0.08758955316690147,-0.9631163027656597,0.14922742012125226,-1.3183553066783014,-0.5087615168910666,-1.12175070900565,0.12123347532474026,-1.0651238380047812,-0.0023764329704133716,-1.3186903318614898,-0.25016333237575633,-0.14418897286388724,-0.14430108688383628,0.3092214251695857,0.12794878514068184,0.3792594656179159,0.024634692134632454,0.39897469519302703,0.07371981362584754,0.8501011794697927,0.09118894366112255,-5.064892211175434,-2.9666659876910977,-6.410197461713764,1.9707717877144444,-0.008064156838660142,-12.528638919960143,1.270677318735255,-3.6438008848211254,0.04666984304708606,0.04746050101713632,0.04634898063654555,0.04544676250324446,0.04535242050174166,0.041824590764853245,0.05163111571382731,0.045735232289993356,0.031286848454887176,0.037001467351374655,0.034177509063725846,-0.014861538485131222,-0.020775455281725204,0.0020223036422755197,-0.016289176554123957,0.015964176317724746,-0.033448107910019245,0.008982050947457638,0.05952644151850134,0.006967794962417178,0.031773908302272884,0.010026147122349852,-0.022014118323372328,0.019854853546109514,0.003764854465098,0.01717102114005194,0.012077944111099373,-0.008825866225046435,0.03165340678140532,-0.007531897471225096,0.023282619063723396,-0.005732481531440094,-0.0026837635204013336,0.5234544535980932,7.410110143819821,9.931613470530692,2.5466363248323773,3.347352296635407,5,239,239
9,300,159.71868384238684,152.37991339016548,162.88752673171365,153.24086621566352,145.55231223216867,142.57997636539017,80.14200055625741,83.3222605939719,0.12926087389258523,0.13260476557855375,0.13254713527390977,0.13255466748509273,0.1277686631856999,0.12689772094625196,0.12937361117576107,0.1467896247935095,0.1305015135304114,0.13148350690235794,0.12620647515439132,0.13672794795700643,0.11122152615464172,0.11747345754733429,0.07887117262091137,0.12889739362233546,0.05542810327611469,0.14414082130304656,0.0670913068299837,0.1539726290695775,0.06348524213343695,0.13751293375411136,0.05555572018848434,0.027205848798613406,0.021400273996427015,0.043983428844002775,0.029786685276569594,0.073783284322299,0.05715128316061037,0.07755927669625468,0.05832326952105181,0.06865314420577057,0.06044383854303392,-0.7753378647531639,-0.6667425953043135,-0.6701552850346181,-0.6740478225496883,-0.5784878093088156,-0.5691328399848531,-0.5733849679293028,-0.8684156086481141,-0.5257300667717576,-0.8007121413388056,-0.6909734451711609,-0.6884499691947712,-0.2704467352200809,-0.8439061834336751,-0.09107403626437903,-1.0748213168172451,0.04379680086984202,-1.1010955246408658,0.1671315138176787,-1.1174778085210406,-0.13458124591952694,-1.103281348507306,-0.23886649345702757,-0.11473930978586001,-0.1194696771491791,0.14917489133209527,0.07472509614051392,0.236922635654601,0.006358545121285101,0.2529372367187967,0.028765858894759015,0.3563076962979386,0.052590337282024995,-4.216435174714833,-3.786891550453564,-6.789081002823009,0.7370396001283896,0.06718219329761929,-12.375989332650589,-0.9499030356715475,-3.7297152031356973,0.04001813703494653,0.040253563670132275,0.03919519567271261,0.038355645854631415,0.03886570924540059,0.03596219158803489,0.0438733264755152,0.03720369130028604,0.02684665801433131,0.032188232348724644,0.029707501008898213,-0.014756750455180453,-0.014622902180414631,-0.0009650474205008066,-0.015356222121132752,0.012401872650679682,-0.016051956072362775,0.006725373152990175,0.056823982500131404,0.0043412171193371474,0.026441791138316517,0.0072486503736765165,-0.015847704542906585,0.01630940905048015,0.0025987648287539473,0.014737395493260641,0.010493881284051067,-0.008611485809125106,0.024705061362965006,-0.0051748433326699,0.018477526307386506,-0.008250548013552574,-0.0033049990330706845,0.522415773380387,7.338770452221354,9.646660516050133,2.972335866778508,3.18026003771449,5,239,239
